[weather, news]	查看汕头天气 讯飞语音我想知道山东省东营市今天的新闻。
[music, translation]	我想听忐忑这首歌打 当前不再呼叫英语怎么说
[map, weather]	南京火车站到南京农业大学 明天泸州天气如何
[video, epg]	播放特种兵之利刃出鞘 湖南卫视娱乐节目。
[news, chat]	总计今天的新闻。 你说啥了
[news, cookbook]	告诉我今天的新闻内容 鱼香肉丝，怎么做得？
[lottery, cookbook]	帮我查一下上一期的大乐透 恒宇乐活鱼怎么做的好吃的回复哦，你。
[train, contacts]	广州到孝感的火车 新建联系人王满秀幺三七 六四零七零二九五
[message, cinemas]	发送短信给陈群 搜索一下热门电影。
[chat, flight]	哈哈哈干什么也想你到底是不是本 济南到汉中的飞机票
[chat]	如果遇见狼呢小马还会让狼上车吗 有什么好听的歌
[cookbook, music]	罐焖牛肉怎么做？ 想听牵手这首歌
[cookbook, music]	西红柿炒鸡蛋做法。 来首快乐崇拜
[app, health]	打开应用程序钱包 宫外孕怎么办？
[health, epg]	发烧。 现在电视台在播什么
[chat, stock]	谁的尾巴短短的 腾讯股票昨日收盘价
[chat, poetry]	你有什么特长 来is，来一首采莲。
[chat, cookbook]	这是啥啊 啊，青椒炒蛋。
[chat, cookbook]	你早上几点钟起床 久久鸭怎么做？
[chat, message]	你平时吃什么 给谢小培发短信今晚一起吃饭
[chat, telephone]	你是男机器人还是女机器人 打电话给幺三二三五六二零二五五
[tvchannel, chat]	海南旅游卫视 你是男是女还是人妖
[tvchannel, message]	浙江电视台 发信息给董昊老婆
[translation, tvchannel]	翻译一下明天我跳河自杀 我要看下中央六套
[radio, map]	请帮我调频89.6武汉交通广播电台 从我这里到科大讯飞走高速路线
[app, video]	搜狗 刘三姐
[weather, music]	扬州天气 放一首其实我介意
[chat]	周末去哪玩 那你喜欢做机器人么
[chat]	和配么 都有啥啊
[train, cookbook]	湖北荆州到黄石的火车 炒鸡蛋，需要，哪些材料？
[cookbook, bus]	福寿鱼做法。 从中山到西安的汽车。
[video, tvchannel]	中国最强音 我要看c c t v一
[weather]	后天什么天气 我想知道深圳明天的天气
[message, cookbook]	给张金波发短消息今天中午一起吃饭 白切鸡怎么做啊？
[chat, epg]	我帮妈妈洗什么 现在最好看的电影。
[weather]	郑州天气怎么样 呼和浩特的天气怎么样呢
[app, telephone]	瓷我要上QQ 给张张打电话
[cookbook, poetry]	海星的做法。 张，来首白居易的诗。
[chat, train]	不多不要紧都会什么 查询昆明到合肥的火车
[poetry, cookbook]	诗词满江红。 简单的，糖醋排骨怎么做？
[chat, map]	你忍心吗 昆山大润发在哪里
[epg, chat]	现在电视台在播什么 你是不是啥
[poetry, telephone]	唐诗登高。 幺三五八四四七零五零二
[cookbook, video]	瘦肉粥。 最美的时光
[chat, telephone]	笨笨真的会聊天吗 拨打幺零零八六一一
[website, epg]	进入三w点百度点com 河南卫视节目单。
[lottery, poetry]	看看大乐透的得奖号码 仓央嘉措的诗词。
[news, music]	今天有什么军事新闻 放首歌听一下你好
[chat, app]	我觉得什么 打开uc浏览器
[chat]	哪里有小猫 能介绍一下吗
[translation, chat]	我想打你英语怎么说 谁在雪里跑
[translation, stock]	帮我翻译一下番茄 查询海螺水泥的股票
[contacts, cookbook]	新建联系人天天 猪肚鸡怎么做啊？
[poetry, video]	分手时，背一首诗吧？ 看千金归来第五集
[poetry, tvchannel]	各来一首李白的诗词。 我想看高尔夫网球频道
[music, app]	播放郁可唯的歌 百度百科
[message, news]	给秦丽香发信息 我要听新闻，给我数。
[website, tvchannel]	打开网页小米论坛 我想看高尔夫网球频道
[chat, translation]	哪去 大家今天心情如何用英语怎么说
[telephone, cookbook]	幺三零二三八四七三四二 甜酒怎么做？
[lottery, radio]	查看大乐透玩法的开奖 麻烦您能否帮我调频97.1汉中音乐广播电台
[video, cookbook]	看中国好声音 孙翠鱼怎么做？
[cookbook, flight]	做鱼怎么做？ 八月十一日从厦门飞往上海的航班
[chat, epg]	蛋糕好吃吗 chc高清电影昨天晚上的节目
[bus, video]	﻿怎么坐车去广州？ 死亡复生
[chat, tvchannel]	你听说过这句名言吗 打开珠江台
[match, chat]	国足最新赛程。 你的性格怎么样
[message, health]	发短信给姐姐说晚上一起吃面条 肠易激综合征。
[video, novel]	我的爱金枝玉叶 查找校园小说沙漏第二部
[message, cinemas]	发信息给健美 找下最近最热播的电影。
[datetime, video]	还有多少天过年 甄嬛传高清
[tvchannel, message]	高清江苏 给张金波发短消息今天中午一起吃饭
[novel, website]	我要看灵异推理小说 新蛋网
[riddle, website]	讲一个谜语，啊，你，哦。 我要打开百度
[website, health]	打开4399小游戏 怎么治疗牛皮癣
[chat, translation]	这不是你的名字吗😂 出租车的英文怎么说
[flight, calc]	八月十一日从厦门飞往上海的航班 4乘6乘七再除以二
[stock, novel]	腾讯股票昨日收盘价 搜索小说校园全能高手。
[message, chat]	给原波发短信 嗯我帮你啥
[epg, video]	书画频道上周六有开始非诚勿扰么 找一下詹姆斯卡梅隆拍的电影
[music, map]	我想听想唱就唱 帮我搜一下科大讯飞在哪
[lottery, chat]	双色球的开奖号码是多少？ 完了你和多了你在哪里自己都不知道咯
[chat, tvchannel]	可什么爱我在骂你好吗 打开浦口新闻综合频道
[cookbook, chat]	炒豆腐。 我在想怎么回去比较好
[video, cookbook]	播七龙珠 鱼香肉丝，怎么做得？
[message, chat]	发短信给上海浦东发展银行　95528 为什么你是机器人
[video, datetime]	武间道 明天上午9点距离现在还有多久
[cookbook, schedule]	培根金针菇怎么做？ 帮我设定8:10的闹钟。
[cookbook]	做红酒怎么做啊？ 阳澄湖大闸蟹的做法。
[website, cinemas]	激动 查找卢米埃银泰电影院有播放什么好看的电影吗
[chat, map]	你学什么的？ 从连云港到北京该怎么走
[chat]	你有牙吗 我看你还是不太行
[chat, poetry]	你怎么样会开心 不是花中偏爱菊的下一句是什么？
[app, chat]	打开系统软件清理 你怎么总是失误
[message, email]	给许浩发一条短信 我想写一个新邮件
[epg, cookbook]	影视频道有什么节目 肉肉怎么腌制？
[website, cookbook]	打开杜鑫文的网站 酸菜鱼怎么煮啊？
[cookbook, novel]	葱烧海参怎么做 我要看免费的小说。
[video, chat]	蓝精灵电影 笨笨你的底层是基于什么算法啊
[stock, match]	中国太保股票 广州恒大亚冠联赛，比赛时间。
[message, chat]	发短信给啊妈说车票买到了 叶哲是你的谁
[chat, flight]	你知道什么的什么是什么吗 请查询一下深圳飞往上海的航班
[chat]	你愿意做娟的女朋友吗 有体育方面的吗
[chat, telephone]	你现在在哪 给小鱼打电话
[chat, cookbook]	哎你好我的梦想是什么 咖喱牛腩怎么做
[epg, chat]	搜索湖南卫视直播。 这么多回答不了的问题
[video, chat]	动画片巴啦啦小魔仙 吃完饭之后干什么
[chat, poetry]	你的好朋友是谁 家，背首沁园春雪。
[chat]	我国是谁 学什么
[chat, poetry]	笨笨为什么不叫聪聪 查一首古诗，武林春。
[cookbook, epg]	青椒肉丝怎么做怎么炒？ 熊出没是几点开始播放。
[tvchannel, cinemas]	高清深圳台 电影院有什么电影？
[bus, map]	合肥到上海可以到哪坐车？ 从观音桥到重庆市图书馆怎么走
[poetry, chat]	那你给我背一首唐诗吧！ 你能干嘛？
[match, train]	中超比赛时间，我。 帮我查一下赣州到南昌的火车票
[match, telephone]	中超比赛时间多少啊？ 给木九超打电话
[poetry, video]	我背一下春晓。 我想看大武当电影
[news]	今天杭州有什么新闻 今天有什么军事新闻
[cookbook, chat]	火腿肠怎么炒好吃 干嘛去？
[chat, calc]	能介绍一下吗 十二与32的积是多少
[news, schedule]	有什么重要新闻吗？ 明天早晨8:10的闹钟。
[weather, cookbook]	明天天气如何 嘉兴粽子。
[cookbook]	猪肉灌汤包怎么做？ 炒豆腐。
[novel, poetry]	我要看唐家三少写的玄幻小说绝世唐门 古诗长恨歌。
[bus, map]	长沙到怀化的汽车。 到薛城区怎么走
[music, datetime]	放一首音乐给我听 多少月之后就是过年了
[video, datetime]	那么最近有什么好电影呢？ 多少月之后就是过年了
[video, flight]	热血动漫 济南到重庆的航班。
[message, chat]	给王帅发个短信说他让他起来尿尿 李亚丽的工作是什么
[stock, epg]	永辉超市股份的价格 电影频道明天放什么
[cookbook]	银耳莲子羹。 草虾尾怎样做。
[chat]	你玩什么游戏打野 那你现在可以干啥
[weather, music]	好今天天气怎么样 放一首其实我介意
[flight, schedule]	大连飞往上海的航班 晚上8:10叫我起床。
[telephone, chat]	给木九超打电话 那那个什么你真是好可爱的小猫呀
[cinemas, stock]	搜索合肥左岸国际电影城。 查询濮耐股份的股票
[chat, stock]	你喜欢什么类型的女人 讯飞科技股票价格
[train, weather]	查一下合肥到淮南明天的火车 巴中的天气
[music, cookbook]	放歌，天亮了。 你酸辣土豆丝怎么做？
[website, cookbook]	打开三g门户网站 怎么样？做红烧肉。
[music, chat]	给我来首好听的音乐 我不确定具体啥时间去呢
[schedule, video]	晚上8:10叫我起床。 13年的电影
[video, radio]	胜者即是正义 本省农村广播
[cookbook, video]	瞌睡鱼怎么做？ 喜羊羊与灰太
[stock, music]	煤炭板块股票查询 我听首歌
[website, cookbook]	请打开八六八四 帮我查一下可乐鸡翅怎么做？
[datetime, cookbook]	明天上午9点距离现在还有多久 麻辣烫做法。
[email, cookbook]	帮我写一条新邮件 草虾尾怎样做。
[email, epg]	帮我转发邮件 查查13年的一站到底
[chat, music]	有啥好吃 放一首音乐给我听
[telephone, flight]	打石宝电话 7月25号去上海的航班。
[news]	今天有什么新闻呢。 我想听听今天的新闻。
[video, chat]	中国新声代 你认识裘实么
[health, chat]	失眠怎么办呀 你在什么地方
[app, cookbook]	打开uc浏览器登录新浪网主页 红烧猪脚
[schedule, message]	把在1607的会议修改到1608 给晓琴发短信你在干吗
[chat, tvchannel]	问问你做什么呢 北京财经
[train, cookbook]	查询宜春到南昌的火车列车时刻表 咖喱牛腩怎么做
[poetry, contacts]	搜搜一首毛泽东的诗。 新建联系人振华奎号码是幺三五零八九四九三幺二
[poetry, chat]	给我背一首满江红。 你端午节放假么
[flight, chat]	查一下明天晚上17点30分从上海飞往珠海三灶机场的飞机 你是男机器人还是女机器人
[music, schedule]	听时间煮雨这首歌 明天早晨8:10的闹钟。
[health, map]	大肠癌 帮我找到去安徽黄山的路
[cookbook, chat]	帮我查一下可乐鸡翅怎么做？ 管我什么事
[chat, stock]	你家在家还是如家 煤炭板块股票查询
[chat, message]	768的女朋友是谁 我现在要发一条信息
[chat, novel]	你有喜欢的人吗 《武动乾坤》
[chat, epg]	哪家店比较有名 明天晚上湖南卫视演什么电视剧
[video, news]	甄嬛传高清 答复，我要听新闻。
[chat, weather]	你除了喜欢我害羞的样子还喜欢我的什么呢 沈阳今天天气
[message, cookbook]	给靖哥哥发短信说我不回来吃饭了 青椒肉丝怎么做怎么炒？
[telephone, map]	打电话给三路店 昆山大润发在哪里
[train, chat]	合肥到芜湖的火车票 哪个饭店好吃
[chat, video]	你认识裘实么 好无聊哇有什么好看的电影
[poetry, epg]	您给我来一首，夏明翰的就义诗。 帮我查一下今晚中年中央六台放什么电影？
[datetime, chat]	现在是两点了吗 有体育方面的吗
[cookbook, chat]	红薯粉的做法，了。 这是啥
[chat, telephone]	巩捷甫是谁 打电话给郑艺红
[epg, map]	昨晚哪个频道有张艺谋出演的电视剧 昆山大润发在哪里
[weather, chat]	打开汕头的天气预报 怀化吃什么
[tvchannel, health]	电视台列表 得了肝癌怎么办？
[message, riddle]	给黄尚君发短信 给我讲一个谜语吧！
[train, cookbook]	从合肥去西安的火车 冰糖葫芦怎么做？你？女子。
[tvchannel, map]	中央电视台电影频道 湖里公园在哪里
[translation, video]	翻译牛 智取威虎山
[cookbook]	菠萝包怎么做？ 土豆饼怎么做啊？
[chat]	爱什么 你为什么这么开心
[translation, chat]	茶用英语怎么说呀 唠什么
[chat, video]	买的什么 江山
[poetry, chat]	给我念首古诗。 你知道我的名字吗
[chat, epg]	﻿你好慢吗！ chc高清电影昨天晚上的节目
[poetry, cookbook]	背一首春晓 土豆粉怎么做？
[schedule, health]	十分钟后叫我起床。 肾炎需要注意什么？
[epg, translation]	湖南台演什么节目 今天是个好日子的英文怎么讲
[translation, chat]	桔子英文怎么说 这么多回答不了的问题
[chat, riddle]	沈阳吃什么除了粘豆包烤冷面焖子沈阳吃什么除了粘豆包烤冷面焖子 让我猜个谜语。
[tvchannel, weather]	吉林电视台 我想知道深圳明天的天气
[flight, chat]	晋江到武汉的航班 哎你好我的梦想是什么
[chat, website]	你和小冰有什么不一样 上山居网
[chat, cookbook]	那你梦想是什么呢 请帮我找一下酸菜鱼的做法
[news, train]	搜索最新新闻 后天上海到烟台的火车
[epg, translation]	搜一下CCTV74月15号播出新编辑部的故事呢 小说英语怎么说
[video, novel]	杨幂演的恐怖片 你能搜到小说不？
[cookbook, epg]	鱼要怎么煮才好吃 非诚勿扰什么时候演啊
[telephone, video]	我想打电话给李四 情债
[cookbook, chat]	我说铁锅炖羊肉怎么做？ 你好像没理解我我真的在倒时差有什么可以让我睡觉的方法么
[chat, train]	这么严肃的事为什么好笑呢 宿州到北京的火车有哪些
[weather, cookbook]	广州的天气如何 酸菜鱼的做法，妈。
[cookbook, chat]	做糖醋排骨 会英文吗
[poetry, chat]	去网上搜索兰陵王。 还是笨笨的
[cookbook, riddle]	大骨汤的做法。 来一个字谜，二。
[website, contacts]	apple 新建联系人张三电话号码一二三四五
[chat, train]	谁制造的你啊 洛阳至西安的火车
[chat, cookbook]	鸵鸟第一件宝贝是什么 猪肉灌汤包怎么做？
[translation, train]	我要和妹妹睡觉英语怎么说 广州到南宁的火车
[weather, chat]	今天天气冷吗 谁制造的你啊
[flight, weather]	查一下澳门到吉隆坡的飞机 扬州天气
[cookbook, telephone]	求米线怎么做？ 打石宝电话
[cookbook, app]	田螺怎么炒啊？ 打开系统软件清理
[epg, chat]	湖南卫视明天播什么节目 能告诉我你的性别么
[news, chat]	噗我想听新闻。 我国是谁
[health, cookbook]	介绍一下尖锐湿疣 星光做西红柿炒鸡蛋呢！
[chat, cookbook]	你会唱歌吗来一首 请帮我找一下酸菜鱼的做法
[music, weather]	播放黑猫警长。 丽水的天气怎么样
[cookbook]	煮咖喱饭。 猪舌头怎么做比较啊子？
[flight, chat]	济南到汉中的飞机票 怀化吃什么
[translation, music]	你去哪用英文怎么说 来首我的未来不是梦
[poetry, cookbook]	嗯，你来一首李白的诗词，的。 酸菜鱼的做法，妈。
[health, chat]	淋病怎么办 图灵机器人也不知道是什么耶
[video, map]	爱在旅途 查询沿途的KTV
[translation, weather]	中国共产主义的英文怎么说 今天柳州天气怎么样
[chat]	你会喝酒吗？ 哪有雪
[riddle, chat]	讲一个谜语和答案。 库里是不是傻
[video, train]	电影中国合伙人 帮我在百度里搜一下东莞到北京的火车
[poetry, video]	朗读游子吟。 当婆婆遇上妈
[bus, chat]	从聊城到东营的车。 你是不是爱上别人了
[riddle, message]	给我讲一个谜语吧！ 发短信给上海浦东发展银行　95528
[cookbook, map]	川崎玫瑰的制作方法 从我这里到科大讯飞走高速路线
[radio, chat]	98.4香港电台第四台 人们夸奖谁
[weather, poetry]	几个田今天天气怎么样 ok好，来首李白的诗词。
[translation, music]	一千五英语怎么说 唱一首简单爱
[weather, match]	查看武汉天气 7月13号广州恒大俱乐部的比赛有哪些
[translation, datetime]	翻译爸爸 武汉的精确时间是
[bus, chat]	昭通到南昌的汽车。 你会做菜吗?
[chat, epg]	怎么这么多鸡汤 现在有什么好看的电视剧？
[cookbook, map]	怎么煮面才好吃呢？ 我想到科大讯飞怎么走
[map, video]	南光集团怎么走 青春期撞上更年期二
[music, website]	随便来首刘德华的歌。 激动
[music, poetry]	我要听还是会这首歌 各来一首李白的诗词。
[music, video]	我想听春天里这首歌 大头儿子小头爸爸
[epg, poetry]	北京卡酷熊出没 给我背个李白的诗。
[weather, message]	舒城的天气 给杨斌发短信
[health, chat]	胃溃疡。 能告诉我你的性别么
[lottery, chat]	提供一张大乐透 我看你还是不太行
[cinemas, datetime]	我要看热门电影。 还有多少天过年
[health, cookbook]	包皮过长，怎么办？哦。 番红烧肉的做法。
[website, chat]	宜家 秋娃娃写信给谁
[website, chat]	中国新闻网网站 室友秀恩爱怎么办
[map, match]	告诉我西安的位置 中超赛事预告吗？
[contacts, flight]	把徐程的电话发给吴芳 贵阳到哈尔滨飞机
[chat, health]	为什么工数大物学不会 脑瘫
[app, cookbook]	搜索结束软件 你给我讲讲红烧肉的做法。
[cookbook, flight]	白灼基尾虾的做法。 到武汉的航班
[chat]	水里有什么 你可以做什么
[train, datetime]	明天广州到北京的火车 现在是两点了吗
[video, chat]	青春期撞上更年期二 哈哈哈干什么也想你到底是不是本
[health, poetry]	甲型肝炎。 背一下春晓孟浩然。
[riddle, radio]	那来个灯谜吧！ 98.4香港电台第四台
[chat, map]	你什么时候去北京 美国大使馆在哪
[telephone, poetry]	拨打幺零零八六一一 背将进酒。
[video, map]	命运派对 华晶小学在哪里
[flight, chat]	到北京的飞机。 这么多回答不了的问题
[weather, chat]	巴中的天气 能想起我吗
[contacts, train]	新建联系人张三电话号码一二三四五 潜山到福州的火车
[contacts, video]	新建联系人振华奎号码是幺三五零八九四九三幺二 陈真
[chat, music]	你是詹黑吗 放一首音乐给我听
[flight, cookbook]	济南到重庆的航班。 红烧肉怎么做？嗯？
[cookbook, message]	帮我搜索一下有什么家常菜？ 给王帅发个短信说他让他起来尿尿
[chat, health]	但还是很差 肾积水怎么治？
[cookbook]	草虾尾怎样做。 怎么做冰激凌？
[weather, poetry]	查看一下天气预报 哪里香我来一首李白的诗。
[cookbook, website]	怎么做鱼呢？ apple
[riddle, tvchannel]	打个谜语吧！ 我要看中央五台
[chat, novel]	什么跌了 赶紧推荐一部小说。
[music, stock]	放首歌听一下你好 六零零零三六昨天的涨跌幅情况
[calc, chat]	45与53的差是多少 是说我好吗我逗你玩儿
[chat, train]	你有伙伴吗 查询泉州到上海的动车票
[telephone, epg]	打电话给王安娜 六台有什么节目
[video, cookbook]	新扎师妹 红烧排骨怎么做？
[telephone, map]	拨打张月华的电话 到科大讯飞怎么走更快一些
[chat, video]	你睡午觉吗 我想看周星驰的喜剧电影喜剧之王
[cookbook, epg]	你给我讲讲红烧肉的做法。 8点河北卫视播放过恋了爱了
[cookbook, video]	新奥尔良烤翅的做法 大头儿子小头爸爸
[tvchannel, schedule]	帮我调到安徽卫视 设定闹钟。
[website, cookbook]	四川新闻网 面包的配方。
[cinemas, telephone]	我想知道环球影视明天播放什么电影 打电话给三路店
[telephone, app]	给幺零零幺零打电话 opera浏览器
[cookbook, website]	嗯，知道红烧肉怎么做？ 浏览一下百度
[epg, cookbook]	中央电视台一套现在放什么节目？ 民间小炒肉的做法。
[cookbook, map]	怎么做炸鸡 带我去新都会
[video, translation]	亲爱的孟凯韬 你怎么了英文怎么讲
[stock, translation]	人福医药股票 中国共产主义的英文怎么说
[cookbook, train]	盐水鸭怎么做？ 从合肥到北京的列车
[poetry, chat]	来首苏轼的词。 你可以做什么
[match, cinemas]	中超比赛，结果。 查询恒光电影院即将上映的电影
[epg, stock]	今天电影频道演什么 安徽合力股票
[health, news]	肠易激综合征。 我要听新闻，给我数。
[chat, poetry]	那你教我怎么搭讪好了 给我背个李白的诗。
[flight, cookbook]	帮我查一下明天南昌到广州的飞机票 土豆粉怎么做？
[chat, stock]	有什么好听的歌 陈娴TCL股票是涨还是跌了
[chat, news]	你是不是爱上别人了 讯飞语音我想知道山东省东营市今天的新闻。
[cinemas, bus]	电影院有什么电影？ 上海到合肥怎么坐汽车？
[telephone, chat]	拨打幺三九七七零九八七七六 从哪回来
[music, epg]	我想听音乐忘情水。 安徽电视台12月18号晚上10:10的电视剧
[epg, cookbook]	chc高清电影昨天晚上的节目 鱼香肉丝肉怎么做？
[tvchannel, lottery]	听江苏交通广播网 帮我查一下今天开奖的15选5
[video, map]	欧阳震华的罪案电视剧 昆山大润发在哪里
[music, chat]	来一首听你听我 还是想知道你能做些什么
[video, message]	斯皮尔伯格导演的电影 发短信给啊妈说车票买到了
[news, map]	有什么重大新闻 导航到山东省菏泽市王浩屯镇
[video]	播放法制进行时 胜者即是正义
[stock, chat]	中国银行股票怎么样 你在什么地方
[chat, tvchannel]	我在跟你聊天儿吗 高清深圳台
[cookbook, epg]	做红烧肉要哪些材料呀！ 看中央七频道讲武堂节目
[app, video]	打开手机QQ恩 搜索逃学威龙第二部
[epg, chat]	帮我查找一下今天晚上有什么电视节目？ 是说我好吗我逗你玩儿
[chat, video]	你喜欢什么啊 命运派对
[chat, contacts]	准备好了吗？ 把徐程的电话发给吴芳
[chat, music]	那是啥 来一首夜夜夜
[chat, email]	你怎么知道呢 替我打开新邮件
[chat, train]	明天想吃啥呀 查询昆明到合肥的火车
[news, chat]	美国最近有什么新闻 卧槽一个答非所问的AI有什么用
[poetry, stock]	李清照的诗。 美菱电器的昨日收盘价是多少
[website, train]	打开搜狐网首页 洛阳至西安的火车
[tvchannel, train]	我要看c c t v一 查一下兰州到成都的火车票
[tvchannel, news]	找湖南卫视 有什么重要新闻吗？
[tvchannel, cookbook]	我要看下中央六套 红枣鸡汤怎么煲？
[calc, website]	帮我算一算45的平方根 进你的官网
[epg, chat]	中央一套什么时候有建党伟业 你怎么知道我不知道
[tvchannel, message]	江苏影视台 给周玉发短信
[video, cookbook]	电视剧火凤凰 怎么煮面才好吃呢？
[chat]	汪进祥怎么样 你能识别语音吗
[radio, riddle]	打开调频FM107南平人民广播电台 再来一个脑筋急转弯
[message, chat]	发信息给学超 你知道我的名字吗
[translation, chat]	智能手机英语怎么说 这么有趣啊
[cookbook, telephone]	请帮我找一下酸菜鱼的做法 拨打幺三九七七零九八七七六
[translation, match]	一加一用英语怎么说 2013年中国男足，主要赛程。
[weather, stock]	你好请问一下明天广州的天气如何 煤炭板块股票查询
[train, translation]	查一下南昌到南京的火车 我来自美国是一个地地道道的美国人用英语怎么说
[cookbook, chat]	虾仁饭。 蒋能能是谁
[chat]	你有压力吗 你能干嘛？
[message, map]	给杨燕姐发短信 到薛城区怎么走
[stock, cinemas]	中水渔业的股票 最近有什么热门的电影？
[message, datetime]	给杨斌发短信 现在几号
[cookbook, chat]	豆腐花的做法。 我去烟台有高铁吗
[message, novel]	给周玉发短信 我要看免费的小说。
[chat, epg]	西方谁可以谈笑风生 湖南台演什么节目
[chat, epg]	你知道水吗 上周六发现之旅有演星跳水立方呢
[chat, poetry]	你叫什么啊 念首诗听一下。
[chat, stock]	你妹叫傻傻么 中水渔业的股票
[translation, flight]	很高兴见到你英文怎么讲 八月十一日从厦门飞往上海的航班
[chat, cookbook]	恋爱着东西很玄虚，谁都说不准 酸菜鱼的做法，妈。
[epg, video]	今晚有什么节目啊？ 中国新声代
[flight, chat]	帮我查一下深圳到桂林后天的机票 你认识siri吗
[cookbook, chat]	臭豆腐汤怎么烧？ 谁写的你
[telephone, tvchannel]	打给曾玮文 我要看湖南台
[music, chat]	来一首夜夜夜 你可以二十四小时陪我聊天吗
[video, poetry]	看电影啊 李白的静夜思怎么读？
[news, cookbook]	搜索娱乐新闻。 酸菜鱼的做法，妈。
[cookbook, chat]	糖醋鲤鱼怎么做？而？ 怎么调用QA
[app, cookbook]	搜索游戏 蚝油生菜的做法。
[poetry, map]	恶念首唐诗。 到太湖怎么走
[contacts, train]	新建联系人张雨号码是五六七 帮我查询一下温州到上海的火车
[website, stock]	九阴真经 五零零零零五的市值高不高
[chat, cookbook]	怎么教你 帮我查一下红烧肉的做法
[video, message]	贺岁片 呃发信息给周玉豪
[video, website]	古惑仔 上百度网站
[map, cookbook]	从新加坡花园怎么去宁溪路 说话，给我搜一下做苹果麦片粥是怎么做啊？
[translation, chat]	书包用英语怎么说 可是我不喜欢你了两个亿你你一点也不忙啥子
[message, cookbook]	发短信给幺八六六七九零三五八零 炒豆腐。
[tvchannel, contacts]	中央台五套 把许琦彪的号码发给徐鹏
[datetime, flight]	哪一天国际牛奶日 帮我查一下广州到长沙的航班
[website, telephone]	我要打开百度 打电话给小女儿
[chat, cookbook]	什么新闻呢 酸菜是怎么做的可以用塑料布。
[translation, schedule]	大家今天心情如何用英语怎么说 给我定一个8:10的闹钟。
[music, train]	我要点一首小星星 洛阳至西安的火车
[app, video]	搜索京东商城 亲爱的孟凯韬
[message, chat]	给张克达发短信 你们好吗
[chat, weather]	你是不是啥 丽水的天气怎么样
[app, chat]	找愤怒的小鸟 我美么
[train, chat]	帮我查一下赣州到杭州的火车票 你知道什么的什么是什么吗
[chat, cookbook]	你可以做什么 干锅排骨怎么做？
[riddle, stock]	我要猜一个字谜。 通宝能源股票
[chat, cookbook]	很晚了你不睡觉吗 牛骨汤
[video, map]	要看名侦探柯南 到步行街不走高架的路线是哪条
[chat, cookbook]	你认识徐俊吗 你给我讲讲红烧肉的做法。
[chat, cookbook]	你的性别是什么 青椒肉丝怎么做怎么炒？
[video, news]	情景剧电视剧 请问一下军事新闻。
[chat, cookbook]	你能分析上下文吗 坐宫保鸡丁需要哪些材料？
[message, map]	给张倩倩发短信 到步行街不走高架的路线是哪条
